duration,amount,age,installment_rate,present_residence,number_credits,people_liable,status,credit_history,purpose,savings,employment_duration,other_debtors,property,other_installment_plans,housing,job,telephone,__row_id,__y,__gender,__split
6,1169,67,4,4,2,1,status_0,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_1,0,0,1,train
48,5951,22,2,2,1,1,status_1,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,1,1,0,calib
12,2096,49,2,3,1,2,status_3,credit_history_4,purpose_7,savings_0,employment_duration_3,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_1,telephone_0,2,0,1,test
42,7882,45,2,4,1,2,status_0,credit_history_2,purpose_3,savings_0,employment_duration_3,other_debtors_2,property_1,other_installment_plans_2,housing_2,job_2,telephone_0,3,0,1,train
24,4870,53,3,4,2,2,status_0,credit_history_3,purpose_0,savings_0,employment_duration_2,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_2,telephone_0,4,1,1,train
36,9055,35,2,4,1,2,status_3,credit_history_2,purpose_7,savings_4,employment_duration_2,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_1,telephone_1,5,0,1,calib
24,2835,53,3,4,1,1,status_3,credit_history_2,purpose_3,savings_2,employment_duration_4,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,6,0,1,train
36,6948,35,2,2,1,1,status_1,credit_history_2,purpose_1,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_3,telephone_1,7,0,1,calib
12,3059,61,2,4,1,1,status_3,credit_history_2,purpose_4,savings_3,employment_duration_3,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_1,telephone_0,8,0,1,train
30,5234,28,4,2,2,1,status_1,credit_history_4,purpose_0,savings_0,employment_duration_0,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_0,9,1,1,train
12,1295,25,3,1,1,1,status_1,credit_history_2,purpose_0,savings_0,employment_duration_1,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_2,telephone_0,10,1,0,calib
48,4308,24,3,4,1,1,status_0,credit_history_2,purpose_9,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_0,job_2,telephone_0,11,1,0,train
12,1567,22,1,1,1,1,status_1,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,12,0,0,train
24,1199,60,4,4,2,1,status_0,credit_history_4,purpose_0,savings_0,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_1,telephone_0,13,1,1,train
15,1403,28,2,4,1,1,status_0,credit_history_2,purpose_0,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_2,telephone_0,14,0,0,test
24,1282,32,4,2,1,1,status_0,credit_history_2,purpose_4,savings_1,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_1,telephone_0,15,1,0,train
24,2424,53,4,4,2,1,status_3,credit_history_4,purpose_4,savings_4,employment_duration_4,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,16,0,1,train
30,8072,25,2,3,3,1,status_0,credit_history_0,purpose_9,savings_4,employment_duration_1,other_debtors_0,property_2,other_installment_plans_0,housing_1,job_2,telephone_0,17,0,1,test
24,12579,44,4,2,1,1,status_1,credit_history_2,purpose_1,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_2,job_3,telephone_1,18,1,0,train
24,3430,31,3,2,1,2,status_3,credit_history_2,purpose_4,savings_2,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,19,0,1,calib
9,2134,48,4,4,3,1,status_3,credit_history_4,purpose_0,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,20,0,1,train
6,2647,44,2,3,1,2,status_0,credit_history_2,purpose_4,savings_2,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_2,telephone_0,21,0,1,train
10,2241,48,1,3,2,2,status_0,credit_history_4,purpose_0,savings_0,employment_duration_1,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_1,telephone_0,22,0,1,train
12,1804,44,3,4,1,1,status_1,credit_history_4,purpose_1,savings_1,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_2,telephone_0,23,0,1,calib
10,2069,26,2,1,2,1,status_3,credit_history_4,purpose_3,savings_4,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,24,0,1,calib
6,1374,36,1,2,1,1,status_0,credit_history_2,purpose_3,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_0,housing_1,job_1,telephone_1,25,0,1,train
6,426,39,4,4,1,1,status_3,credit_history_0,purpose_4,savings_0,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_1,telephone_0,26,0,1,train
12,409,42,3,3,2,1,status_2,credit_history_1,purpose_4,savings_3,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_0,job_2,telephone_0,27,0,0,train
7,2415,34,3,2,1,1,status_1,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_2,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,28,0,1,train
60,6836,63,3,4,2,1,status_0,credit_history_3,purpose_9,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_1,job_2,telephone_1,29,1,1,train
18,1913,36,3,3,1,1,status_1,credit_history_2,purpose_9,savings_3,employment_duration_1,other_debtors_0,property_0,other_installment_plans_0,housing_1,job_2,telephone_1,30,0,1,train
24,4020,27,2,2,1,1,status_0,credit_history_2,purpose_3,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_1,housing_1,job_2,telephone_0,31,0,1,train
18,5866,30,2,2,2,1,status_1,credit_history_2,purpose_0,savings_1,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,32,0,1,calib
12,1264,57,4,4,1,1,status_3,credit_history_4,purpose_9,savings_4,employment_duration_4,other_debtors_0,property_3,other_installment_plans_2,housing_0,job_1,telephone_0,33,0,1,train
12,1474,33,4,1,1,1,status_2,credit_history_2,purpose_3,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_0,housing_1,job_3,telephone_1,34,0,0,train
45,4746,25,4,2,2,1,status_1,credit_history_4,purpose_4,savings_0,employment_duration_1,other_debtors_0,property_1,other_installment_plans_2,housing_1,job_1,telephone_0,35,1,1,test
48,6110,31,1,3,1,1,status_3,credit_history_4,purpose_7,savings_0,employment_duration_2,other_debtors_0,property_3,other_installment_plans_0,housing_2,job_2,telephone_1,36,0,1,train
18,2100,37,4,2,1,1,status_2,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_1,property_0,other_installment_plans_1,housing_1,job_2,telephone_0,37,1,1,test
10,1225,37,2,2,1,1,status_2,credit_history_2,purpose_5,savings_0,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,38,0,1,train
9,458,24,4,3,1,1,status_1,credit_history_2,purpose_4,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_2,telephone_0,39,0,1,calib
30,2333,30,4,2,1,1,status_3,credit_history_2,purpose_4,savings_2,employment_duration_4,other_debtors_0,property_2,other_installment_plans_0,housing_1,job_3,telephone_0,40,0,1,train
12,1158,26,3,1,1,1,status_1,credit_history_2,purpose_4,savings_2,employment_duration_2,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_1,41,0,1,train
18,6204,44,2,4,1,2,status_1,credit_history_3,purpose_6,savings_0,employment_duration_2,other_debtors_0,property_0,other_installment_plans_2,housing_1,job_1,telephone_1,42,0,1,calib
30,6187,24,1,4,2,1,status_0,credit_history_4,purpose_1,savings_1,employment_duration_3,other_debtors_0,property_2,other_installment_plans_2,housing_0,job_2,telephone_0,43,0,1,train
48,6143,58,4,4,2,1,status_0,credit_history_4,purpose_1,savings_0,employment_duration_4,other_debtors_0,property_3,other_installment_plans_1,housing_2,job_1,telephone_0,44,1,0,test
11,1393,35,4,4,2,1,status_3,credit_history_4,purpose_0,savings_0,employment_duration_1,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_3,telephone_0,45,0,0,calib
36,2299,39,4,4,1,1,status_3,credit_history_2,purpose_4,savings_2,employment_duration_4,other_debtors_0,property_2,other_installment_plans_2,housing_1,job_2,telephone_0,46,0,1,train
