trial_number,model_type,score,params
0,xgboost,0.6232610903702868,"{'model_type': 'xgboost', 'xgb_n_estimators': 162, 'xgb_max_depth': 4, 'xgb_learning_rate': 0.012184186502221764, 'xgb_subsample': 0.9464704583099741, 'xgb_colsample_bytree': 0.8404460046972835}"
1,logistic_regression,0.6159904266827012,"{'model_type': 'logistic_regression', 'lr_penalty': 'l1', 'lr_C': 0.016480446427978974}"
2,lightgbm,0.6153618993885193,"{'model_type': 'lightgbm', 'lgbm_n_estimators': 155, 'lgbm_max_depth': 6, 'lgbm_learning_rate': 0.03476649150592621, 'lgbm_num_leaves': 56, 'lgbm_subsample': 0.9140703845572055, 'lgbm_colsample_bytree': 0.6798695128633439}"
3,lightgbm,0.6084913885027143,"{'model_type': 'lightgbm', 'lgbm_n_estimators': 168, 'lgbm_max_depth': 3, 'lgbm_learning_rate': 0.2521267904777921, 'lgbm_num_leaves': 98, 'lgbm_subsample': 0.9233589392465844, 'lgbm_colsample_bytree': 0.7218455076693483}"
4,xgboost,0.6026762299882923,"{'model_type': 'xgboost', 'xgb_n_estimators': 298, 'xgb_max_depth': 3, 'xgb_learning_rate': 0.22038218939289875, 'xgb_subsample': 0.7035119926400067, 'xgb_colsample_bytree': 0.8650089137415928}"
5,logistic_regression,0.6190906647841522,"{'model_type': 'logistic_regression', 'lr_penalty': 'l1', 'lr_C': 3.7958531426706403}"
6,xgboost,0.6234939327469463,"{'model_type': 'xgboost', 'xgb_n_estimators': 118, 'xgb_max_depth': 5, 'xgb_learning_rate': 0.03750796359625606, 'xgb_subsample': 0.7085396127095583, 'xgb_colsample_bytree': 0.9314950036607718}"
7,logistic_regression,0.6190854936867136,"{'model_type': 'logistic_regression', 'lr_penalty': 'elasticnet', 'lr_C': 1.2273800987852967, 'lr_l1_ratio': 0.1987156815341724}"
8,xgboost,0.6173111372786545,"{'model_type': 'xgboost', 'xgb_n_estimators': 409, 'xgb_max_depth': 3, 'xgb_learning_rate': 0.0338452204120114, 'xgb_subsample': 0.6463476238100518, 'xgb_colsample_bytree': 0.9452413703502374}"
9,random_forest,0.6293315403413438,"{'model_type': 'random_forest', 'rf_n_estimators': 230, 'rf_max_depth': 23, 'rf_min_samples_split': 14, 'rf_min_samples_leaf': 9}"
10,random_forest,0.6299275163913123,"{'model_type': 'random_forest', 'rf_n_estimators': 208, 'rf_max_depth': 23, 'rf_min_samples_split': 14, 'rf_min_samples_leaf': 9}"
11,random_forest,0.6301194704895455,"{'model_type': 'random_forest', 'rf_n_estimators': 202, 'rf_max_depth': 23, 'rf_min_samples_split': 15, 'rf_min_samples_leaf': 10}"
12,random_forest,0.629381579164399,"{'model_type': 'random_forest', 'rf_n_estimators': 189, 'rf_max_depth': 24, 'rf_min_samples_split': 15, 'rf_min_samples_leaf': 10}"
13,random_forest,0.6163052942864072,"{'model_type': 'random_forest', 'rf_n_estimators': 137, 'rf_max_depth': 13, 'rf_min_samples_split': 9, 'rf_min_samples_leaf': 4}"
14,random_forest,0.6288298764654527,"{'model_type': 'random_forest', 'rf_n_estimators': 417, 'rf_max_depth': 30, 'rf_min_samples_split': 18, 'rf_min_samples_leaf': 8}"
15,random_forest,0.5880186413597436,"{'model_type': 'random_forest', 'rf_n_estimators': 307, 'rf_max_depth': 19, 'rf_min_samples_split': 3, 'rf_min_samples_leaf': 1}"
16,random_forest,0.6259175203204378,"{'model_type': 'random_forest', 'rf_n_estimators': 272, 'rf_max_depth': 5, 'rf_min_samples_split': 10, 'rf_min_samples_leaf': 7}"
17,random_forest,0.6303177991682992,"{'model_type': 'random_forest', 'rf_n_estimators': 105, 'rf_max_depth': 26, 'rf_min_samples_split': 20, 'rf_min_samples_leaf': 10}"
